variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.5492243295727592,-0.3042177811481821,-0.0592112327236049,-0.9153738826212654,-0.5070296352469702,-0.09868538787267483
txtimg,PLR + Controls,-0.6033250518146385,-0.37203496059252816,-0.1407448693704179,-1.0055417530243975,-0.6200582676542137,-0.23457478228402986
txtimg,PLR + Emb + Controls,-0.4722822116893933,-0.22553866333581368,0.02120488501776599,-0.7871370194823223,-0.3758977722263562,0.035341475029609985
txtimg,PLR + Similarities + Controls,-0.7098073110686351,-0.40756121639005777,-0.10531512171148033,-1.183012185114392,-0.6792686939834296,-0.17552520285246723
txtimg,PLR + PCA + Controls,-0.7350750356119962,-0.4508213202772522,-0.16656760494250822,-1.225125059353327,-0.7513688671287537,-0.2776126749041804
txt,PLR + Embeddings,-0.835254254557273,-0.48985715770747085,-0.14446006085766866,-1.3920904242621217,-0.8164285961791181,-0.24076676809611444
txt,PLR + Controls,-0.5614705287137848,-0.32746437720878335,-0.09345822570378196,-0.9357842145229747,-0.5457739620146389,-0.15576370950630328
txt,PLR + Emb + Controls,-0.7092892624869952,-0.5013708107151311,-0.29345235894326704,-1.1821487708116587,-0.8356180178585519,-0.4890872649054451
txt,PLR + Similarities + Controls,-0.645439797306073,-0.4023728804119729,-0.1593059635178727,-1.0757329955101218,-0.6706214673532882,-0.26550993919645455
txt,PLR + PCA + Controls,-0.6344882404580703,-0.38344547000321716,-0.13240269954836398,-1.0574804007634506,-0.6390757833386953,-0.22067116591393998
