variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.10739257700135638,0.03380709384762507,0.1750067646966065,-0.17898762833559398,0.05634515641270845,0.29167794116101087
txtimg,PLR + Controls,-0.11368976128907429,0.030447402481634325,0.17458456625234295,-0.1894829354817905,0.05074567080272387,0.2909742770872383
txtimg,PLR + Emb + Controls,-0.1426358554026492,-0.012927457244673627,0.11678094091330195,-0.23772642567108201,-0.021545762074456045,0.19463490152216992
txtimg,PLR + Similarities + Controls,-0.16932467978006527,-0.03132279565357388,0.10667908847291752,-0.2822077996334421,-0.05220465942262314,0.17779848078819588
txtimg,PLR + PCA + Controls,-0.0320422257095023,0.10673035853297089,0.24550294277544407,-0.053403709515837165,0.17788393088828483,0.4091715712924068
txt,PLR + Embeddings,-0.16309559514907265,0.008010807671974747,0.17911721049302212,-0.2718259919151211,0.013351346119957912,0.29852868415503686
txt,PLR + Controls,-0.12893986435313462,0.012738386413421045,0.1544166371799767,-0.21489977392189105,0.02123064402236841,0.25736106196662784
txt,PLR + Emb + Controls,-0.1688289087313403,-0.011975648537939986,0.14487761165546034,-0.2813815145522338,-0.01995941422989998,0.2414626860924339
txt,PLR + Similarities + Controls,-0.16049825324303296,-0.018067580236932904,0.12436309276916717,-0.2674970887383883,-0.030112633728221507,0.2072718212819453
txt,PLR + PCA + Controls,-0.11688982956767244,0.032129314541699504,0.18114845865107146,-0.19481638261278741,0.053548857569499175,0.3019140977517858
