variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.7401676583942811,-0.4738247940778667,-0.20748192976145224,-1.2336127639904686,-0.7897079901297779,-0.3458032162690871
txtimg,PLR + Controls,-0.7035575960015066,-0.4376805299385167,-0.17180346387552686,-1.1725959933358443,-0.7294675498975278,-0.28633910645921146
txtimg,PLR + Emb + Controls,-0.7315693583673849,-0.4683093319027002,-0.20504930543801547,-1.2192822639456415,-0.780515553171167,-0.34174884239669245
txtimg,PLR + Similarities + Controls,-0.6786015068585516,-0.4033773878433309,-0.12815326882811012,-1.1310025114309195,-0.6722956464055515,-0.21358878138018356
txtimg,PLR + PCA + Controls,-0.6629085253172017,-0.42746292424982385,-0.192017323182446,-1.104847542195336,-0.7124382070830397,-0.3200288719707433
txt,PLR + Embeddings,-0.9113712127951641,-0.5724948882343701,-0.23361856367357614,-1.5189520213252736,-0.9541581470572835,-0.3893642727892936
txt,PLR + Controls,-0.72458897188909,-0.47569999725066214,-0.22681102261223426,-1.2076482864818168,-0.7928333287511036,-0.37801837102039043
txt,PLR + Emb + Controls,-0.6713371334052565,-0.4551750728619861,-0.2390130123187158,-1.1188952223420943,-0.7586251214366435,-0.39835502053119304
txt,PLR + Similarities + Controls,-0.8069797646933532,-0.5668222199122356,-0.3266646751311179,-1.3449662744889221,-0.944703699853726,-0.5444411252185298
txt,PLR + PCA + Controls,-0.7173666521445046,-0.4803459352918893,-0.243325218439274,-1.1956110869075076,-0.8005765588198155,-0.4055420307321233
