variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.1771154993270304,-0.11142110653867637,-0.04572671375032232,-0.29519249887838406,-0.1857018442311273,-0.07621118958387053
txtimg,PLR + Controls,-0.1770844833682633,-0.11489582942389512,-0.05270717547952695,-0.29514080561377215,-0.1914930490398252,-0.08784529246587824
txtimg,PLR + Emb + Controls,-0.15568567744048434,-0.10117226025876523,-0.04665884307704612,-0.2594761290674739,-0.16862043376460872,-0.07776473846174353
txtimg,PLR + Similarities + Controls,-0.1968172824252667,-0.13524235374098495,-0.0736674250567032,-0.32802880404211116,-0.2254039229016416,-0.12277904176117202
txtimg,PLR + PCA + Controls,-0.19175903191180763,-0.13683731909811392,-0.08191560628442021,-0.31959838651967937,-0.22806219849685655,-0.1365260104740337
txt,PLR + Embeddings,-0.23435489627271427,-0.16208802353121757,-0.08982115078972086,-0.3905914937878571,-0.2701467058853626,-0.1497019179828681
txt,PLR + Controls,-0.2049972078716475,-0.1457289120054711,-0.08646061613929473,-0.3416620131194125,-0.24288152000911853,-0.14410102689882456
txt,PLR + Emb + Controls,-0.19194827128243439,-0.13082937828044777,-0.06971048527846116,-0.31991378547072397,-0.2180489638007463,-0.11618414213076861
txt,PLR + Similarities + Controls,-0.2153866315080853,-0.15147500543561432,-0.08756337936314333,-0.35897771918014215,-0.25245834239269055,-0.1459389656052389
txt,PLR + PCA + Controls,-0.20782537775508503,-0.14295075089691595,-0.07807612403874688,-0.3463756295918084,-0.23825125149485993,-0.13012687339791146
