label,embedding,n_asins,CATE_mean,CATE_min,CATE_max,R2_out,R2_treat,het_p
men/fashion-sneakers,lazy,173,-0.273,-1.451,0.538,0.024,-0.275,0.568
men/loafers-slip-ons,lazy,179,-0.197,-0.697,0.419,0.052,-0.617,0.749
men/oxfords,lazy,131,0.163,-3.816,1.527,0.131,-0.501,0.002
women/fashion-sneakers,lazy,430,-0.34,-1.011,0.602,0.385,-0.076,0.26
women/flats,lazy,497,-0.175,-0.682,1.023,0.658,-0.474,0.099
women/pumps,lazy,627,-0.162,-0.269,-0.025,0.613,0.082,0.77
men/fashion-sneakers,proper,173,-0.554,-3.546,2.547,0.059,-0.203,0.16
men/loafers-slip-ons,proper,179,-0.091,-2.049,0.95,-0.076,-0.431,0.05
men/oxfords,proper,131,-0.025,-1.872,1.195,0.131,-0.556,0.56
women/fashion-sneakers,proper,430,-0.242,-1.114,0.538,0.301,0.036,0.276
women/flats,proper,497,-0.117,-0.386,0.264,0.626,-0.413,0.09
women/pumps,proper,627,-0.127,-0.549,0.226,0.562,0.002,0.022
men-8 whole,whole,1032,-0.203,-0.927,0.418,0.19,-0.168,0.065
women-8 whole,whole,2574,-0.175,-0.55,0.149,0.436,0.006,0.082
