gender,embedding,subcat,variant,het_p_plr,CATE_mean_demand
men,whole,ALL,txtimg,0.0645596455839569,-0.2032707816225811
men,whole,ALL,txt,0.5064992769007124,-0.2004899919921666
women,whole,ALL,txtimg,0.0822451787475797,-0.1746293877015147
women,whole,ALL,txt,0.2693005895178997,-0.1264272674167615
men,lazy,loafers-slip-ons,txtimg,0.7491226816104151,-0.1968664482736043
men,lazy,loafers-slip-ons,txt,0.1144769012448874,-0.1173398935218829
men,lazy,fashion-sneakers,txtimg,0.5678192864372189,-0.2730757620696084
men,lazy,fashion-sneakers,txt,0.0009152043852095,-0.7172584263318873
men,lazy,oxfords,txtimg,0.0016125132739053,0.1628950080449209
men,lazy,oxfords,txt,0.0201754221192691,0.0753827586782161
men,proper,loafers-slip-ons,txtimg,0.0501658824397194,-0.090876937259258
men,proper,loafers-slip-ons,txt,0.6968001439115462,-0.022146457208566
men,proper,fashion-sneakers,txtimg,0.1600852204476204,-0.5541575951251203
men,proper,fashion-sneakers,txt,0.0362060942897264,-0.466818646622708
men,proper,oxfords,txtimg,0.5604876987468665,-0.0247357959737487
men,proper,oxfords,txt,0.3634658652133626,0.0574154176817694
women,lazy,pumps,txtimg,0.7695019696502919,-0.1620105592137617
women,lazy,pumps,txt,0.1474940853635559,-0.1060617333290019
women,lazy,flats,txtimg,0.0992899556153125,-0.1754250147544635
women,lazy,flats,txt,0.7904118572128915,-0.0839703897519455
women,lazy,fashion-sneakers,txtimg,0.2601991492855587,-0.3401526108209479
women,lazy,fashion-sneakers,txt,0.2255943553485564,-0.0905385805403113
women,proper,pumps,txtimg,0.0221113928691505,-0.127250230362993
women,proper,pumps,txt,0.0991112959975092,-0.1817008804290562
women,proper,flats,txtimg,0.0900266733859845,-0.1170869040855341
women,proper,flats,txt,0.002376247440805,-0.116236913544704
women,proper,fashion-sneakers,txtimg,0.2759185049987708,-0.242104191260259
women,proper,fashion-sneakers,txt,0.1840380756800052,-0.1628121281907038
