gender,embedding,subcat,n_train,spec,variant,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper,sig
men,lazy,fashion-sneakers,172,PLR + Controls,txt,-0.5615,-0.3275,-0.0935,-0.9358,-0.5458,-0.1558,True
men,lazy,fashion-sneakers,172,PLR + Controls,txtimg,-0.6033,-0.372,-0.1407,-1.0055,-0.6201,-0.2346,True
men,lazy,fashion-sneakers,172,PLR + Emb + Controls,txt,-0.7093,-0.5014,-0.2935,-1.1821,-0.8356,-0.4891,True
men,lazy,fashion-sneakers,172,PLR + Emb + Controls,txtimg,-0.4723,-0.2255,0.0212,-0.7871,-0.3759,0.0353,False
men,lazy,fashion-sneakers,172,PLR + Embeddings,txt,-0.8353,-0.4899,-0.1445,-1.3921,-0.8164,-0.2408,True
men,lazy,fashion-sneakers,172,PLR + Embeddings,txtimg,-0.5492,-0.3042,-0.0592,-0.9154,-0.507,-0.0987,True
men,lazy,fashion-sneakers,172,PLR + PCA + Controls,txt,-0.6345,-0.3834,-0.1324,-1.0575,-0.6391,-0.2207,True
men,lazy,fashion-sneakers,172,PLR + PCA + Controls,txtimg,-0.7351,-0.4508,-0.1666,-1.2251,-0.7514,-0.2776,True
men,lazy,fashion-sneakers,172,PLR + Similarities + Controls,txt,-0.6454,-0.4024,-0.1593,-1.0757,-0.6706,-0.2655,True
men,lazy,fashion-sneakers,172,PLR + Similarities + Controls,txtimg,-0.7098,-0.4076,-0.1053,-1.183,-0.6793,-0.1755,True
men,lazy,loafers-slip-ons,180,PLR + Controls,txt,-0.1482,-0.0347,0.0788,-0.247,-0.0578,0.1314,False
men,lazy,loafers-slip-ons,180,PLR + Controls,txtimg,-0.151,-0.0474,0.0562,-0.2517,-0.079,0.0937,False
men,lazy,loafers-slip-ons,180,PLR + Emb + Controls,txt,-0.0962,0.0273,0.1507,-0.1603,0.0454,0.2512,False
men,lazy,loafers-slip-ons,180,PLR + Emb + Controls,txtimg,-0.1814,-0.0721,0.0373,-0.3024,-0.1201,0.0622,False
men,lazy,loafers-slip-ons,180,PLR + Embeddings,txt,-0.1714,-0.0787,0.014,-0.2857,-0.1312,0.0234,False
men,lazy,loafers-slip-ons,180,PLR + Embeddings,txtimg,-0.1812,-0.0606,0.0599,-0.3019,-0.101,0.0998,False
men,lazy,loafers-slip-ons,180,PLR + PCA + Controls,txt,-0.116,0.032,0.18,-0.1933,0.0533,0.3,False
men,lazy,loafers-slip-ons,180,PLR + PCA + Controls,txtimg,-0.1372,-0.0369,0.0633,-0.2286,-0.0616,0.1055,False
