variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.317219030510114,-0.22042378762963746,-0.12362854474916088,-0.5286983841835234,-0.3673729793827291,-0.20604757458193482
txtimg,PLR + Controls,-0.27742193673605,-0.1910967417742032,-0.10477154681235641,-0.4623698945600833,-0.318494569623672,-0.1746192446872607
txtimg,PLR + Emb + Controls,-0.2840914467847653,-0.20192166764273878,-0.1197518885007123,-0.47348574464127546,-0.33653611273789796,-0.19958648083452052
txtimg,PLR + Similarities + Controls,-0.21965152953765268,-0.1469119139152686,-0.07417229829288449,-0.3660858825627545,-0.244853189858781,-0.1236204971548075
txtimg,PLR + PCA + Controls,-0.20309430685622906,-0.124226125989026,-0.04535794512182295,-0.33849051142704845,-0.20704354331504335,-0.07559657520303825
txt,PLR + Embeddings,-0.2850452668227339,-0.20594541178177933,-0.12684555674082476,-0.47507544470455654,-0.34324235296963224,-0.21140926123470793
txt,PLR + Controls,-0.21190031039003926,-0.1321895169083944,-0.052478723426749516,-0.3531671839833988,-0.22031586151399066,-0.08746453904458253
txt,PLR + Emb + Controls,-0.1425563319764957,-0.06890122866561406,0.0047538746452675945,-0.23759388662749284,-0.11483538110935677,0.007923124408779325
txt,PLR + Similarities + Controls,-0.12664890321786046,-0.04297215306046092,0.04070459709693861,-0.21108150536310077,-0.07162025510076821,0.06784099516156436
txt,PLR + PCA + Controls,-0.19400846341067285,-0.10442113101667426,-0.01483379862267567,-0.3233474390177881,-0.17403521836112376,-0.024722997704459453
