variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.16162797302066384,-0.09757994579965436,-0.03353191857864486,-0.26937995503443973,-0.16263324299942394,-0.055886530964408106
txtimg,PLR + Controls,-0.1078560072163251,-0.061091987630852,-0.014327968045378905,-0.1797600120272085,-0.10181997938475335,-0.023879946742298177
txtimg,PLR + Emb + Controls,-0.10067531662705048,-0.06268575853426633,-0.02469620044148218,-0.16779219437841747,-0.10447626422377723,-0.04116033406913697
txtimg,PLR + Similarities + Controls,-0.1012154942237411,-0.0593027766610649,-0.017390059098388692,-0.16869249037290185,-0.09883796110177484,-0.028983431830647822
txtimg,PLR + PCA + Controls,-0.07515233628896367,-0.03192821820459805,0.01129589987976757,-0.12525389381493945,-0.053213697007663416,0.018826499799612616
txt,PLR + Embeddings,-0.22705812733972341,-0.14860427056793582,-0.07015041379614824,-0.3784302122328724,-0.24767378427989303,-0.11691735632691373
txt,PLR + Controls,-0.06466514851804157,-0.02716731780961745,0.010330512898806678,-0.1077752475300693,-0.04527886301602908,0.017217521498011132
txt,PLR + Emb + Controls,-0.06923707922948641,-0.037812634681518416,-0.006388190133550423,-0.11539513204914402,-0.0630210578025307,-0.010646983555917372
txt,PLR + Similarities + Controls,-0.10592667124543026,-0.06372243176624709,-0.021518192287063927,-0.17654445207571712,-0.10620405294374516,-0.03586365381177321
txt,PLR + PCA + Controls,-0.07385884958669142,-0.03471087298515157,0.0044371036163882785,-0.12309808264448571,-0.05785145497525262,0.0073951726939804644
