variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.21896467332249803,-0.169864230936219,-0.12076378854993997,-0.3649411222041634,-0.28310705156036503,-0.20127298091656662
txtimg,PLR + Controls,-0.10404633672142008,-0.06363771995556333,-0.023229103189706585,-0.1734105612023668,-0.10606286659260555,-0.03871517198284431
txtimg,PLR + Emb + Controls,-0.13891491057706004,-0.09633458447750651,-0.053754258377952974,-0.23152485096176675,-0.1605576407958442,-0.08959043062992163
txtimg,PLR + Similarities + Controls,-0.11130552215360509,-0.06487819904777149,-0.018450875941937894,-0.18550920358934184,-0.10813033174628582,-0.030751459903229826
txtimg,PLR + PCA + Controls,-0.1043397637421104,-0.06656135674681748,-0.02878294975152456,-0.1738996062368507,-0.11093559457802915,-0.047971582919207605
txt,PLR + Embeddings,-0.2500624528408565,-0.19252975074635617,-0.13499704865185583,-0.41677075473476083,-0.32088291791059365,-0.22499508108642638
txt,PLR + Controls,-0.11232674979397027,-0.06981028320712244,-0.027293816620274622,-0.18721124965661712,-0.11635047201187075,-0.04548969436712437
txt,PLR + Emb + Controls,-0.09096925384998712,-0.05375587652640626,-0.016542499202825398,-0.15161542308331188,-0.08959312754401044,-0.027570832004708997
txt,PLR + Similarities + Controls,-0.08790475455946667,-0.04182755281314698,0.004249648933172721,-0.1465079242657778,-0.06971258802191163,0.007082748221954536
txt,PLR + PCA + Controls,-0.09769879947948729,-0.05757717731216047,-0.017455555144833663,-0.16283133246581216,-0.09596196218693412,-0.029092591908056107
