variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.29154059101540153,-0.20014140337024286,-0.1087422157250842,-0.48590098502566925,-0.3335690056170714,-0.18123702620847368
txtimg,PLR + Controls,-0.16259708720490973,-0.07826636754219411,0.0060643521205215045,-0.27099514534151625,-0.13044394590365685,0.010107253534202509
txtimg,PLR + Emb + Controls,-0.22498180960145298,-0.13916906247128358,-0.053356315341114194,-0.3749696826690883,-0.2319484374521393,-0.08892719223519033
txtimg,PLR + Similarities + Controls,-0.19759782852161065,-0.11351635460200288,-0.02943488068239511,-0.3293297142026844,-0.18919392433667148,-0.049058134470658515
txtimg,PLR + PCA + Controls,-0.20940504438085616,-0.12416962646450012,-0.03893420854814407,-0.34900840730142696,-0.20694937744083355,-0.06489034758024012
txt,PLR + Embeddings,-0.29083377703637525,-0.20999764484208538,-0.12916151264779552,-0.4847229617272921,-0.349996074736809,-0.21526918774632586
txt,PLR + Controls,-0.17601972873812216,-0.09987485732239504,-0.023729985906667903,-0.29336621456353695,-0.16645809553732507,-0.03954997651111317
txt,PLR + Emb + Controls,-0.16180872747884406,-0.09069392482524741,-0.019579122171650754,-0.26968121246474014,-0.15115654137541235,-0.032631870286084594
txt,PLR + Similarities + Controls,-0.18838965504033525,-0.11606197136171385,-0.043734287683092454,-0.3139827584005588,-0.19343661893618977,-0.07289047947182076
txt,PLR + PCA + Controls,-0.1767624354840467,-0.10183430999807355,-0.026906184512100403,-0.2946040591400778,-0.16972384999678927,-0.04484364085350068
