variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.23363157226578796,-0.18201263813532764,-0.13039370400486733,-0.3893859537763133,-0.3033543968922128,-0.21732284000811222
txtimg,PLR + Controls,-0.11345023071920299,-0.0651342345188442,-0.016818238318485425,-0.1890837178653383,-0.10855705753140701,-0.028030397197475708
txtimg,PLR + Emb + Controls,-0.09808101556191709,-0.0611519393562815,-0.024222863150645903,-0.16346835926986183,-0.10191989892713584,-0.04037143858440984
txtimg,PLR + Similarities + Controls,-0.10680312455683605,-0.06576222484147842,-0.024721325126120804,-0.17800520759472677,-0.10960370806913071,-0.04120220854353467
txtimg,PLR + PCA + Controls,-0.11561430409569459,-0.07352466393160717,-0.03143502376751975,-0.19269050682615765,-0.12254110655267862,-0.05239170627919958
txt,PLR + Embeddings,-0.24252075512561322,-0.1857826252478952,-0.1290444953701772,-0.40420125854268873,-0.30963770874649205,-0.21507415895029536
txt,PLR + Controls,-0.13854337272670353,-0.09481571406529846,-0.05108805540389337,-0.23090562121117256,-0.15802619010883076,-0.08514675900648895
txt,PLR + Emb + Controls,-0.1099056494222074,-0.07597795148565575,-0.04205025354910411,-0.1831760823703457,-0.1266299191427596,-0.07008375591517352
txt,PLR + Similarities + Controls,-0.11458693043395562,-0.07773506162050756,-0.04088319280705948,-0.19097821738992604,-0.12955843603417927,-0.06813865467843247
txt,PLR + PCA + Controls,-0.12720059514640888,-0.08869163292037983,-0.05018267069435079,-0.21200099191068147,-0.14781938820063306,-0.08363778449058465
