variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.14405754902685822,-0.08566292558930956,-0.02726830215176091,-0.2400959150447637,-0.14277154264884928,-0.045447170252934856
txtimg,PLR + Controls,-0.10089632500681228,-0.04999287790933307,0.0009105691881461445,-0.16816054167802047,-0.08332146318222179,0.0015176153135769074
txtimg,PLR + Emb + Controls,-0.09118394405283409,-0.056826487323412514,-0.02246903059399094,-0.15197324008805682,-0.09471081220568753,-0.037448384323318235
txtimg,PLR + Similarities + Controls,-0.1034548451340252,-0.060891164696592254,-0.018327484259159317,-0.172424741890042,-0.10148527449432043,-0.030545807098598863
txtimg,PLR + PCA + Controls,-0.11798247215618882,-0.07727135622155262,-0.036560240286916436,-0.19663745359364804,-0.12878559370258771,-0.0609337338115274
txt,PLR + Embeddings,-0.2243042981083534,-0.14426191291624071,-0.06421952772412805,-0.3738404968472557,-0.24043652152706788,-0.10703254620688009
txt,PLR + Controls,-0.07815036320319796,-0.035759092661107175,0.0066321778809836154,-0.13025060533866328,-0.05959848776851196,0.01105362980163936
txt,PLR + Emb + Controls,-0.09044592237152933,-0.048231669444252015,-0.006017416516974697,-0.1507432039525489,-0.08038611574042002,-0.010029027528291162
txt,PLR + Similarities + Controls,-0.08160520148368411,-0.03944636898644139,0.002712463510801323,-0.13600866913947351,-0.06574394831073566,0.0045207725180022055
txt,PLR + PCA + Controls,-0.0702282291781999,-0.028155778122534822,0.013916672933130252,-0.11704704863033318,-0.04692629687089137,0.02319445488855042
