variant,spec,rank_lower,rank_coef,rank_upper,demand_lower,demand_coef,demand_upper
txtimg,PLR + Embeddings,-0.1674924709086539,-0.13719179500246637,-0.10689111909627882,-0.27915411818108987,-0.2286529916707773,-0.17815186516046472
txtimg,PLR + Controls,-0.11798021012479458,-0.08982999148815096,-0.061679772851507345,-0.1966336835413243,-0.14971665248025162,-0.10279962141917891
txtimg,PLR + Emb + Controls,-0.12830049370158503,-0.1034886328714021,-0.07867677204121916,-0.2138341561693084,-0.17248105478567016,-0.13112795340203193
txtimg,PLR + Similarities + Controls,-0.1244637597280305,-0.09726656000242538,-0.07006936027682026,-0.2074395995467175,-0.16211093333737564,-0.11678226712803377
txtimg,PLR + PCA + Controls,-0.12330388763415343,-0.0955874241567974,-0.06787096067944137,-0.2055064793902557,-0.15931237359466233,-0.11311826779906896
txt,PLR + Embeddings,-0.18928792397236452,-0.1553991543108252,-0.1215103846492859,-0.3154798732872742,-0.258998590518042,-0.20251730774880985
txt,PLR + Controls,-0.10653081768249262,-0.08025745810407815,-0.05398409852566369,-0.17755136280415437,-0.1337624301734636,-0.08997349754277281
txt,PLR + Emb + Controls,-0.10265737659886229,-0.07561527457970592,-0.04857317256054955,-0.1710956276647705,-0.1260254576328432,-0.08095528760091592
txt,PLR + Similarities + Controls,-0.1122499368270271,-0.08650072097392264,-0.060751505120818186,-0.18708322804504515,-0.14416786828987108,-0.10125250853469699
txt,PLR + PCA + Controls,-0.1073559958117608,-0.08053803951796523,-0.05372008322416967,-0.178926659686268,-0.1342300658632754,-0.0895334720402828
